1,1,1
0.90376,0.80728,0.615
0.81746,0.65308,0.3822
0.73848,0.52784,0.225
0.66858,0.42688,0.1402
0.6054,0.34652,0.0889
0.54534,0.27752,0.0547
0.49396,0.22364,0.0327
0.4453,0.18244,0.0206
0.40326,0.14956,0.0148
0.36342,0.1206,0.0069
0.3301,0.09384,0.0058
0.29812,0.07492,0.003
0.26678,0.06416,0.0024
0.24326,0.04988,0.0004
0.21974,0.04076,0.0006
0.19886,0.03188,0.0007
0.17916,0.0256,0.0001
0.16136,0.01932,0.0004
0.14556,0.01792,0.0002
0.13376,0.01336,0
0.11974,0.01208,0
0.10998,0.00988,0
0.09882,0.00748,0
0.0884,0.0064,0
0.07988,0.00552,0
0.07314,0.00444,0
0.06386,0.00304,0
0.05836,0.00284,0
0.0548,0.00212,0
0.04782,0.00192,0
