1,1,1
0.90406,0.8074,0.6135
0.81634,0.65244,0.3788
0.73818,0.52728,0.2357
0.66792,0.42556,0.1449
0.60506,0.34452,0.0839
0.54582,0.27688,0.0483
0.49486,0.22472,0.0335
0.44558,0.18452,0.0251
0.40264,0.14604,0.0121
0.36412,0.12152,0.0089
0.33072,0.09664,0.0058
0.30092,0.07716,0.0029
0.2685,0.0626,0.0024
0.24646,0.05032,0.0015
0.2179,0.03976,0.0009
0.19984,0.03148,0.0004
0.18146,0.025,0.0003
0.16332,0.0228,0.0003
0.1447,0.01676,0.0001
0.13274,0.01352,0.0001
0.12252,0.012,0
0.10842,0.00904,0
0.09838,0.00792,0
0.08738,0.00616,0
0.08076,0.00472,0
0.07408,0.00432,0
0.06526,0.00304,0
0.06026,0.00228,0.0001
0.05382,0.00248,0
0.04754,0.00168,0
0.0447,0.00092,0
0.03944,0.0012,0
0.03464,0.00072,0
0.03278,0.00124,0
0.02982,0.00076,0
0.02664,0.00056,0
0.02344,0.00036,0
0.02172,0.00036,0
0.01956,0.0002,0
0.01692,0.00024,0
0.01574,0.00032,0
0.01486,0.00012,0
0.01346,0,0
0.01172,8e-05,0
0.01036,0.00012,0
0.00978,4e-05,0
0.00886,0,0
0.0077,0,0
0.0072,4e-05,0
0.0071,8e-05,0
